435,2,1
436,2,1
437,2,1
438,3,647
438,2,1
438,3,782
438,3,783
439,2,1
440,2,1
441,2,1
442,2,1
443,2,1
444,2,1
445,2,1
446,2,1
447,2,1
448,2,1
449,2,2
450,2,2
451,3,782
451,3,498
451,3,783
451,3,4601
451,2,2
452,2,2
453,2,2
454,2,2
455,2,2
456,3,5911
456,2,2
456,3,6014
457,2,2
458,3,5911
458,2,2
458,3,456
458,3,6014
459,3,5911
459,2,2
459,3,456
459,3,6014
460,2,2
461,3,5911
461,2,2
461,3,456
461,3,6014
462,2,3
463,2,3
464,2,3
465,2,3
466,2,3
467,2,3
468,2,3
469,2,3
470,3,486
470,2,3
471,2,3
472,2,3
473,2,3
474,2,3
475,2,3
476,2,3
477,2,3
478,3,464
478,2,3
478,3,489
479,2,3
480,2,3
481,2,3
482,2,3
483,3,489
483,3,464
483,2,3
484,2,3
485,2,3
486,2,3
487,2,3
488,2,3
489,3,464
489,2,3
490,2,4
491,2,4
492,2,5
493,3,4748
493,3,4749
493,2,5
494,2,5
495,2,5
496,2,5
497,2,5
498,2,5
498,3,4601
498,3,4277
498,3,7117
498,3,782
498,3,4271
498,3,783
498,3,7112
499,3,4601
499,3,782
499,2,5
499,3,783
500,2,5
501,2,5
502,2,5
503,2,5
504,2,5
505,2,5
506,2,5
507,2,5
508,2,5
509,2,5
510,2,6
510,3,518
511,2,6
512,3,762
512,2,6
513,3,783
513,2,6
513,3,647
513,3,782
514,2,6
515,2,6
516,3,518
516,2,6
517,2,6
518,2,6
519,2,6
520,2,6
521,2,6
522,2,6
523,3,5911
523,3,5993
523,3,6014
523,3,5917
523,2,6
524,2,5
525,2,5
526,2,5
527,2,5
528,3,560
528,2,5
529,3,4601
529,3,782
529,3,498
529,3,783
529,2,5
530,2,5
531,2,5
532,3,782
532,3,7117
532,3,783
532,3,4272
532,2,5
532,3,7112
533,2,5
534,2,5
535,2,5
536,2,5
537,2,5
538,2,5
539,2,5
540,2,5
541,2,7
542,2,7
543,2,7
544,2,7
545,3,5996
545,3,6014
545,2,5
545,3,5911
545,3,5993
546,2,5
547,2,8
547,3,782
547,3,783
548,3,782
548,3,783
548,2,8
549,2,8
550,3,5821
550,2,8
551,2,8
552,2,8
553,2,8
554,2,8
555,2,8
556,2,8
557,2,8
558,2,5
558,3,560
558,3,528
559,2,5
560,2,5
561,2,5
561,3,567
562,2,5
563,2,5
564,2,5
565,3,4601
565,3,782
565,3,498
565,3,783
565,2,5
566,3,5911
566,3,5993
566,3,4481
566,3,6014
566,2,5
567,2,5
568,2,5
569,2,5
569,3,4747
569,3,4719
570,2,5
571,2,5
572,2,5
573,2,5
573,3,571
574,2,5
575,2,5
576,2,5
577,2,5
579,2,5
580,2,5
581,2,5
582,2,5
583,3,783
583,3,647
583,2,5
583,3,782
584,2,9
585,2,9
586,2,9
587,2,9
588,2,9
589,3,782
589,3,783
589,3,647
589,2,9
590,2,9
591,2,9
592,2,5
593,2,5
594,2,5
595,2,5
596,2,5
597,3,782
597,3,498
597,3,783
597,2,5
597,3,599
597,3,4601
598,2,5
599,3,4601
599,3,782
599,3,498
599,3,783
599,2,5
600,2,5
600,3,567
601,2,5
602,2,5
603,2,5
604,2,5
604,3,4564
605,2,5
605,3,4719
606,3,4601
606,3,782
606,3,498
606,3,783
606,2,5
607,2,5
608,2,5
609,2,5
610,2,5
611,2,5
611,3,625
